date,people_fully_vaccinated
3/12/20,
3/13/20,
3/14/20,
3/15/20,
3/16/20,
3/17/20,
3/18/20,
3/19/20,
3/20/20,
3/21/20,
3/22/20,
3/23/20,
3/24/20,
3/25/20,
3/26/20,
3/27/20,
3/28/20,
3/29/20,
3/30/20,
3/31/20,
4/1/20,
4/2/20,
4/3/20,
4/4/20,
4/5/20,
4/6/20,
4/7/20,
4/8/20,
4/9/20,
4/10/20,
4/11/20,
4/12/20,
4/13/20,
4/14/20,
4/15/20,
4/16/20,
4/17/20,
4/18/20,
4/19/20,
4/20/20,
4/21/20,
4/22/20,
4/23/20,
4/24/20,
4/25/20,
4/26/20,
4/27/20,
4/28/20,
4/29/20,
4/30/20,
5/1/20,
5/2/20,
5/3/20,
5/4/20,
5/5/20,
5/6/20,
5/7/20,
5/8/20,
5/9/20,
5/10/20,
5/11/20,
5/12/20,
5/13/20,
5/14/20,
5/15/20,
5/16/20,
5/17/20,
5/18/20,
5/19/20,
5/20/20,
5/21/20,
5/22/20,
5/23/20,
5/24/20,
5/25/20,
5/26/20,
5/27/20,
5/28/20,
5/29/20,
5/30/20,
5/31/20,
6/1/20,
6/2/20,
6/3/20,
6/4/20,
6/5/20,
6/6/20,
6/7/20,
6/8/20,
6/9/20,
6/10/20,
6/11/20,
6/12/20,
6/13/20,
6/14/20,
6/15/20,
6/16/20,
6/17/20,
6/18/20,
6/19/20,
6/20/20,
6/21/20,
6/22/20,
6/23/20,
6/24/20,
6/25/20,
6/26/20,
6/27/20,
6/28/20,
6/29/20,
6/30/20,
7/1/20,
7/2/20,
7/3/20,
7/4/20,
7/5/20,
7/6/20,
7/7/20,
7/8/20,
7/9/20,
7/10/20,
7/11/20,
7/12/20,
7/13/20,
7/14/20,
7/15/20,
7/16/20,
7/17/20,
7/18/20,
7/19/20,
7/20/20,
7/21/20,
7/22/20,
7/23/20,
7/24/20,
7/25/20,
7/26/20,
7/27/20,
7/28/20,
7/29/20,
7/30/20,
7/31/20,
8/1/20,
8/2/20,
8/3/20,
8/4/20,
8/5/20,
8/6/20,
8/7/20,
8/8/20,
8/9/20,
8/10/20,
8/11/20,
8/12/20,
8/13/20,
8/14/20,
8/15/20,
8/16/20,
8/17/20,
8/18/20,
8/19/20,
8/20/20,
8/21/20,
8/22/20,
8/23/20,
8/24/20,
8/25/20,
8/26/20,
8/27/20,
8/28/20,
8/29/20,
8/30/20,
8/31/20,
9/1/20,
9/2/20,
9/3/20,
9/4/20,
9/5/20,
9/6/20,
9/7/20,
9/8/20,
9/9/20,
9/10/20,
9/11/20,
9/12/20,
9/13/20,
9/14/20,
9/15/20,
9/16/20,
9/17/20,
9/18/20,
9/19/20,
9/20/20,
9/21/20,
9/22/20,
9/23/20,
9/24/20,
9/25/20,
9/26/20,
9/27/20,
9/28/20,
9/29/20,
9/30/20,
10/1/20,
10/2/20,
10/3/20,
10/4/20,
10/5/20,
10/6/20,
10/7/20,
10/8/20,
10/9/20,
10/10/20,
10/11/20,
10/12/20,
10/13/20,
10/14/20,
10/15/20,
10/16/20,
10/17/20,
10/18/20,
10/19/20,
10/20/20,
10/21/20,
10/22/20,
10/23/20,
10/24/20,
10/25/20,
10/26/20,
10/27/20,
10/28/20,
10/29/20,
10/30/20,
10/31/20,
11/1/20,
11/2/20,
11/3/20,
11/4/20,
11/5/20,
11/6/20,
11/7/20,
11/8/20,
11/9/20,
11/10/20,
11/11/20,
11/12/20,
11/13/20,
11/14/20,
11/15/20,
11/16/20,
11/17/20,
11/18/20,
11/19/20,
11/20/20,
11/21/20,
11/22/20,
11/23/20,
11/24/20,
11/25/20,
11/26/20,
11/27/20,
11/28/20,
11/29/20,
11/30/20,
12/1/20,
12/2/20,
12/3/20,
12/4/20,
12/5/20,
12/6/20,
12/7/20,
12/8/20,
12/9/20,
12/10/20,
12/11/20,
12/12/20,
12/13/20,
12/14/20,
12/15/20,
12/16/20,
12/17/20,
12/18/20,
12/19/20,
12/20/20,
12/21/20,
12/22/20,
12/23/20,
12/24/20,
12/25/20,
12/26/20,
12/27/20,
12/28/20,
12/29/20,
12/30/20,
12/31/20,
1/1/21,
1/2/21,
1/3/21,
1/4/21,
1/5/21,
1/6/21,
1/7/21,
1/8/21,
1/9/21,
1/10/21,
1/11/21,
1/12/21,
1/13/21,
1/14/21,
1/15/21,
1/16/21,
1/17/21,
1/18/21,
1/19/21,
1/20/21,
1/21/21,
1/22/21,
1/23/21,
1/24/21,
1/25/21,
1/26/21,
1/27/21,
1/28/21,
1/29/21,
1/30/21,
1/31/21,
2/1/21,
2/2/21,
2/3/21,
2/4/21,
2/5/21,
2/6/21,
2/7/21,
2/8/21,
2/9/21,
2/10/21,
2/11/21,
2/12/21,
2/13/21,
2/14/21,
2/15/21,
2/16/21,
2/17/21,
2/18/21,
2/19/21,
2/20/21,
2/21/21,
2/22/21,
2/23/21,
2/24/21,
2/25/21,
2/26/21,
2/27/21,
2/28/21,
3/1/21,
3/2/21,
3/3/21,
3/4/21,
3/5/21,
3/6/21,
3/7/21,
3/8/21,
3/9/21,
3/10/21,
3/11/21,
3/12/21,
3/13/21,
3/14/21,
3/15/21,
3/16/21,
3/17/21,
3/18/21,
3/19/21,
3/20/21,
3/21/21,
3/22/21,
3/23/21,
3/24/21,
3/25/21,
3/26/21,
3/27/21,
3/28/21,
3/29/21,
3/30/21,
3/31/21,
4/1/21,
4/2/21,
4/3/21,
4/4/21,
4/5/21,
4/6/21,
4/7/21,
4/8/21,
4/9/21,
4/10/21,
4/11/21,
4/12/21,
4/13/21,
4/14/21,
4/15/21,600
4/16/21,
4/17/21,
4/18/21,
4/19/21,
4/20/21,
4/21/21,
4/22/21,
4/23/21,1771
4/24/21,
4/25/21,
4/26/21,2800
4/27/21,
4/28/21,
4/29/21,
4/30/21,
5/1/21,
5/2/21,
5/3/21,
5/4/21,
5/5/21,
5/6/21,2800
5/7/21,
5/8/21,
5/9/21,
5/10/21,
5/11/21,
5/12/21,
5/13/21,
5/14/21,
5/15/21,
5/16/21,
5/17/21,
5/18/21,
5/19/21,
5/20/21,
5/21/21,
5/22/21,
5/23/21,
5/24/21,
5/25/21,58380
5/26/21,
5/27/21,
5/28/21,
5/29/21,
5/30/21,
5/31/21,
6/1/21,
6/2/21,70778
6/3/21,
6/4/21,
6/5/21,75412
6/6/21,
6/7/21,
6/8/21,
6/9/21,79802
6/10/21,
6/11/21,83729
6/12/21,
6/13/21,
6/14/21,
6/15/21,
6/16/21,92157
6/17/21,
6/18/21,
6/19/21,
6/20/21,
6/21/21,98635
6/22/21,
6/23/21,
6/24/21,
6/25/21,104605
6/26/21,
6/27/21,
6/28/21,
6/29/21,107421
6/30/21,108752
7/1/21,110710
7/2/21,112371
7/3/21,
7/4/21,
7/5/21,
7/6/21,114394
7/7/21,
7/8/21,116903
7/9/21,
7/10/21,
7/11/21,
7/12/21,
7/13/21,
7/14/21,123050
7/15/21,
7/16/21,
7/17/21,
7/18/21,
7/19/21,128252
7/20/21,
7/21/21,
7/22/21,129361
7/23/21,129749
7/24/21,
7/25/21,
7/26/21,130429
7/27/21,
7/28/21,133987
7/29/21,138624
7/30/21,138624
7/31/21,
8/1/21,
8/2/21,
8/3/21,141628
8/4/21,142114
8/5/21,
8/6/21,
8/7/21,
8/8/21,
8/9/21,
8/10/21,144965
8/11/21,
8/12/21,146091
