Date,Confirmed_Cases
1/22/20,0
1/23/20,0
1/24/20,0
1/25/20,0
1/26/20,0
1/27/20,0
1/28/20,0
1/29/20,0
1/30/20,0
1/31/20,0
2/1/20,0
2/2/20,0
2/3/20,0
2/4/20,0
2/5/20,0
2/6/20,0
2/7/20,0
2/8/20,0
2/9/20,0
2/10/20,0
2/11/20,0
2/12/20,0
2/13/20,0
2/14/20,0
2/15/20,0
2/16/20,0
2/17/20,0
2/18/20,0
2/19/20,0
2/20/20,0
2/21/20,0
2/22/20,0
2/23/20,0
2/24/20,0
2/25/20,0
2/26/20,0
2/27/20,0
2/28/20,0
2/29/20,0
3/1/20,0
3/2/20,0
3/3/20,0
3/4/20,0
3/5/20,0
3/6/20,0
3/7/20,0
3/8/20,0
3/9/20,0
3/10/20,0
3/11/20,0
3/12/20,1
3/13/20,1
3/14/20,1
3/15/20,4
3/16/20,4
3/17/20,7
3/18/20,7
3/19/20,7
3/20/20,7
3/21/20,7
3/22/20,19
3/23/20,20
3/24/20,5
3/25/20,5
3/26/20,5
3/27/20,5
3/28/20,8
3/29/20,8
3/30/20,8
3/31/20,12
4/1/20,19
4/2/20,19
4/3/20,23
4/4/20,23
4/5/20,24
4/6/20,31
4/7/20,33
4/8/20,37
4/9/20,37
4/10/20,37
4/11/20,45
4/12/20,45
4/13/20,45
4/14/20,47
4/15/20,55
4/16/20,55
4/17/20,63
4/18/20,63
4/19/20,65
4/20/20,65
4/21/20,66
4/22/20,67
4/23/20,70
4/24/20,73
4/25/20,73
4/26/20,74
4/27/20,74
4/28/20,74
4/29/20,78
4/30/20,82
5/1/20,82
5/2/20,82
5/3/20,82
5/4/20,92
5/5/20,93
5/6/20,93
5/7/20,93
5/8/20,94
5/9/20,94
5/10/20,104
5/11/20,109
5/12/20,113
5/13/20,113
5/14/20,113
5/15/20,116
5/16/20,117
5/17/20,117
5/18/20,124
5/19/20,125
5/20/20,125
5/21/20,127
5/22/20,127
5/23/20,127
5/24/20,135
5/25/20,137
5/26/20,139
5/27/20,139
5/28/20,150
5/29/20,150
5/30/20,152
5/31/20,153
6/1/20,153
6/2/20,153
6/3/20,153
6/4/20,153
6/5/20,153
6/6/20,154
6/7/20,154
6/8/20,154
6/9/20,156
6/10/20,156
6/11/20,158
6/12/20,159
6/13/20,159
6/14/20,159
6/15/20,159
6/16/20,171
6/17/20,171
6/18/20,183
6/19/20,183
6/20/20,183
6/21/20,184
6/22/20,205
6/23/20,206
6/24/20,209
6/25/20,215
6/26/20,215
6/27/20,230
6/28/20,230
6/29/20,235
6/30/20,245
7/1/20,248
7/2/20,250
7/3/20,256
7/4/20,272
7/5/20,273
7/6/20,273
7/7/20,284
7/8/20,284
7/9/20,286
7/10/20,290
7/11/20,291
7/12/20,297
7/13/20,300
7/14/20,308
7/15/20,313
7/16/20,315
7/17/20,320
7/18/20,327
7/19/20,336
7/20/20,337
7/21/20,339
7/22/20,350
7/23/20,351
7/24/20,352
7/25/20,360
7/26/20,370
7/27/20,389
7/28/20,396
7/29/20,398
7/30/20,401
7/31/20,413
8/1/20,430
8/2/20,474
8/3/20,474
8/4/20,497
8/5/20,509
8/6/20,538
8/7/20,538
8/8/20,554
8/9/20,568
8/10/20,568
8/11/20,602
8/12/20,623
8/13/20,631
8/14/20,649
8/15/20,674
8/16/20,709
8/17/20,709
8/18/20,737
8/19/20,776
8/20/20,846
