Date,Recovered
1/22/20,0
1/23/20,0
1/24/20,0
1/25/20,0
1/26/20,0
1/27/20,0
1/28/20,0
1/29/20,0
1/30/20,0
1/31/20,0
2/1/20,0
2/2/20,0
2/3/20,0
2/4/20,0
2/5/20,0
2/6/20,0
2/7/20,0
2/8/20,0
2/9/20,0
2/10/20,0
2/11/20,0
2/12/20,0
2/13/20,0
2/14/20,0
2/15/20,0
2/16/20,0
2/17/20,0
2/18/20,0
2/19/20,0
2/20/20,0
2/21/20,0
2/22/20,0
2/23/20,0
2/24/20,0
2/25/20,0
2/26/20,0
2/27/20,0
2/28/20,0
2/29/20,0
3/1/20,0
3/2/20,0
3/3/20,0
3/4/20,0
3/5/20,0
3/6/20,0
3/7/20,0
3/8/20,0
3/9/20,0
3/10/20,0
3/11/20,0
3/12/20,0
3/13/20,0
3/14/20,0
3/15/20,0
3/16/20,0
3/17/20,0
3/18/20,0
3/19/20,0
3/20/20,0
3/21/20,0
3/22/20,0
3/23/20,0
3/24/20,0
3/25/20,0
3/26/20,0
3/27/20,0
3/28/20,0
3/29/20,0
3/30/20,0
3/31/20,0
4/1/20,0
4/2/20,0
4/3/20,0
4/4/20,0
4/5/20,0
4/6/20,8
4/7/20,8
4/8/20,8
4/9/20,8
4/10/20,8
4/11/20,8
4/12/20,8
4/13/20,8
4/14/20,8
4/15/20,8
4/16/20,8
4/17/20,9
4/18/20,9
4/19/20,9
4/20/20,9
4/21/20,9
4/22/20,9
4/23/20,9
4/24/20,12
4/25/20,12
4/26/20,12
4/27/20,15
4/28/20,15
4/29/20,18
4/30/20,22
5/1/20,22
5/2/20,22
5/3/20,22
5/4/20,27
5/5/20,27
5/6/20,27
5/7/20,27
5/8/20,35
5/9/20,35
5/10/20,35
5/11/20,36
5/12/20,36
5/13/20,41
5/14/20,42
5/15/20,43
5/16/20,43
5/17/20,43
5/18/20,44
5/19/20,46
5/20/20,47
5/21/20,57
5/22/20,57
5/23/20,58
5/24/20,62
5/25/20,62
5/26/20,62
5/27/20,67
5/28/20,67
5/29/20,67
5/30/20,67
5/31/20,70
6/1/20,70
6/2/20,70
6/3/20,70
6/4/20,77
6/5/20,77
6/6/20,80
6/7/20,80
6/8/20,84
6/9/20,86
6/10/20,92
6/11/20,92
6/12/20,95
6/13/20,95
6/14/20,99
6/15/20,99
6/16/20,99
6/17/20,102
6/18/20,102
6/19/20,102
6/20/20,102
6/21/20,103
6/22/20,103
6/23/20,107
6/24/20,107
6/25/20,108
6/26/20,108
6/27/20,109
6/28/20,109
6/29/20,114
6/30/20,114
7/1/20,116
7/2/20,117
7/3/20,117
7/4/20,120
7/5/20,120
7/6/20,120
7/7/20,125
7/8/20,125
7/9/20,125
7/10/20,134
7/11/20,148
7/12/20,154
7/13/20,155
7/14/20,156
7/15/20,156
7/16/20,156
7/17/20,156
7/18/20,163
7/19/20,163
7/20/20,163
7/21/20,163
7/22/20,165
7/23/20,176
7/24/20,178
7/25/20,180
7/26/20,181
7/27/20,181
7/28/20,181
7/29/20,185
7/30/20,185
7/31/20,185
8/1/20,185
8/2/20,185
8/3/20,185
8/4/20,186
8/5/20,189
8/6/20,189
8/7/20,189
8/8/20,189
8/9/20,189
8/10/20,189
8/11/20,189
8/12/20,191
8/13/20,202
8/14/20,306
8/15/20,310
8/16/20,349
8/17/20,349
8/18/20,365
8/19/20,381
8/20/20,399
8/21/20,433
