date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations,daily_people_vaccinated
2/11/21,0,0,,,
2/12/21,,,,167,167
2/13/21,,,,167,167
2/14/21,,,,167,167
2/15/21,668,668,,167,167
2/16/21,,,,167,167
2/17/21,,,,168,168
2/18/21,,,,168,168
2/19/21,,,,168,168
2/20/21,,,,169,169
2/21/21,,,,169,169
2/22/21,1852,1852,,169,169
2/23/21,,,,223,223
2/24/21,,,,277,277
2/25/21,,,,331,331
2/26/21,,,,385,385
2/27/21,,,,439,439
2/28/21,,,,493,493
3/1/21,,,,547,547
3/2/21,,,,547,547
3/3/21,,,,547,547
3/4/21,,,,547,547
3/5/21,,,,547,547
3/6/21,,,,547,547
3/7/21,,,,547,547
3/8/21,,,,547,547
3/9/21,,,,547,547
3/10/21,,,,547,547
3/11/21,,,,547,547
3/12/21,,,,547,547
3/13/21,,,,547,547
3/14/21,,,,547,547
3/15/21,,,,547,547
3/16/21,,,,547,547
3/17/21,,,,547,547
3/18/21,,,,547,547
3/19/21,15524,15524,,547,547
3/20/21,,,,673,673
3/21/21,,,,800,800
3/22/21,,,,926,926
3/23/21,,,,1053,1053
3/24/21,,,,1179,1179
3/25/21,,,,1306,1306
3/26/21,,,,1432,1432
3/27/21,,,,1432,1432
3/28/21,,,,1432,1432
3/29/21,,,,1432,1432
3/30/21,,,,1432,1432
3/31/21,32714,32714,,1432,1432
4/1/21,,,,1597,1597
4/2/21,,,,1762,1762
4/3/21,40468,40468,,1926,1926
4/4/21,,,,2074,2074
4/5/21,,,,2221,2221
4/6/21,,,,2368,2368
4/7/21,,,,2515,2515
4/8/21,,,,2498,2498
4/9/21,,,,2480,2480
4/10/21,,,,2463,2463
4/11/21,60172,60172,,2463,2463
4/12/21,,,,2591,2569
4/13/21,,,,2718,2676
4/14/21,,,,2846,2782
4/15/21,73600,73000,600,2974,2888
4/16/21,,,,3336,3230
4/17/21,,,,3699,3571
4/18/21,,,,4061,3912
4/19/21,,,,4296,4148
4/20/21,,,,4530,4383
4/21/21,,,,4765,4618
4/22/21,,,,5000,4853
4/23/21,113596,111825,1771,5000,4853
4/24/21,,,,4914,4740
4/25/21,,,,4829,4626
4/26/21,126800,124000,2800,4743,4512
4/27/21,,,,4410,4201
4/28/21,,,,4077,3889
4/29/21,,,,3745,3577
4/30/21,,,,3412,3265
5/1/21,,,,3164,3066
5/2/21,,,,2917,2868
5/3/21,,,,2669,2669
5/4/21,,,,2669,2669
5/5/21,,,,2669,2669
5/6/21,153494,150694,2800,2669,2669
5/7/21,,,,2981,2563
5/8/21,,,,3292,2456
5/9/21,,,,3603,2350
5/10/21,,,,3915,2243
5/11/21,,,,4226,2136
5/12/21,,,,4537,2030
5/13/21,,,,4848,1923
5/14/21,,,,4848,1923
5/15/21,,,,4848,1923
5/16/21,,,,4848,1923
5/17/21,,,,4848,1923
5/18/21,,,,4848,1923
5/19/21,,,,4848,1923
5/20/21,,,,4848,1923
5/21/21,,,,4848,1923
5/22/21,,,,4848,1923
5/23/21,,,,4848,1923
5/24/21,,,,4848,1923
5/25/21,245614,187234,58380,4848,1923
5/26/21,,,,4674,1945
5/27/21,,,,4499,1967
5/28/21,,,,4325,1989
5/29/21,,,,4150,2011
5/30/21,,,,3976,2033
5/31/21,,,,3801,2055
6/1/21,,,,3626,2077
6/2/21,274625,203847,70778,3626,2077
6/3/21,,,,3614,2065
6/4/21,,,,3602,2054
6/5/21,285247,209835,75412,3590,2042
6/6/21,,,,3386,1903
6/7/21,,,,3183,1764
6/8/21,,,,2979,1625
6/9/21,294053,214251,79802,2775,1486
6/10/21,,,,2737,1388
6/11/21,300591,216862,83729,2698,1289
6/12/21,,,,2627,1198
6/13/21,,,,2748,1235
6/14/21,,,,2868,1271
6/15/21,,,,2988,1308
6/16/21,315816,223659,92157,3109,1344
6/17/21,,,,2942,1273
6/18/21,,,,2776,1201
6/19/21,,,,2641,1122
6/20/21,,,,2506,1043
6/21/21,326325,227690,98635,2371,964
6/22/21,,,,2249,870
6/23/21,,,,2127,776
6/24/21,,,,2140,760
6/25/21,335091,230486,104605,2153,745
6/26/21,,,,2029,705
6/27/21,,,,1905,666
6/28/21,,,,1780,626
6/29/21,340020,232599,107421,1643,601
6/30/21,341886,233134,108752,1597,578
7/1/21,344466,233756,110710,1652,567
7/2/21,346626,234255,112371,1648,538
7/3/21,,,,1599,518
7/4/21,,,,1550,498
7/5/21,,,,1502,477
7/6/21,350190,235796,114394,1453,457
7/7/21,,,,1459,474
7/8/21,354014,237111,116903,1364,479
7/9/21,,,,1280,486
7/10/21,,,,1377,509
7/11/21,,,,1474,532
7/12/21,,,,1571,555
7/13/21,,,,1669,578
7/14/21,363442,240392,123050,1620,563
7/15/21,,,,1570,543
7/16/21,,,,1568,539
7/17/21,,,,1567,535
7/18/21,,,,1565,531
7/19/21,371243,242991,128252,1563,528
7/20/21,,,,1457,515
7/21/21,,,,1351,502
7/22/21,373726,244365,129361,1246,493
7/23/21,374841,245092,129749,1183,523
7/24/21,,,,1069,526
7/25/21,,,,956,529
7/26/21,377145,246716,130429,843,532
7/27/21,,,,1140,628
7/28/21,382957,248970,133987,1437,723
7/29/21,389336,250712,138624,2230,907
7/30/21,389336,250712,138624,2071,803
7/31/21,,,,2149,806
8/1/21,,,,2228,810
8/2/21,,,,2306,814
8/3/21,394606,252978,141628,2079,734
8/4/21,396997,254883,142114,2006,845
8/5/21,,,,1549,982
8/6/21,,,,2003,1369
8/7/21,,,,2270,1675
8/8/21,,,,2536,1981
8/9/21,,,,2802,2286
8/10/21,416087,271122,144965,3069,2592
8/11/21,,,,3405,2918
8/12/21,425580,279489,146091,3629,3128
8/13/21,429086,282586,146500,3675,3184
8/14/21,,,,3501,3048
